,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
219,144200,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
220,115360,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
225,170000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
226,150000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
229,108000,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
233,188700,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
234,160395,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
235,115934,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
236,81666,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
237,300000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
238,225000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
239,198440,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
240,144000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
248,198440,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
249,144000,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
252,90000,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
255,200000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
256,180000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
259,210000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
260,180000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
261,165000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
262,132000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
268,178800,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
269,132100,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
273,160000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
274,85000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
277,187200,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
278,116100,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
280,200000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
281,145000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
282,229998,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
283,154545,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
284,215000,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
285,159000,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
286,229998,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
287,154545,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
290,99750,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
291,68400,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
292,236900,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
293,159200,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
296,175000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
297,150000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
298,210000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
299,180000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
300,148000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
301,128000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
306,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
307,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
308,160000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
309,85000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
310,218000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
311,145300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
315,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
316,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
317,207000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
318,153000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
319,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
320,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
321,110000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
322,99000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
323,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
324,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
325,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
326,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
327,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
328,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
331,207000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
332,153000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
333,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
334,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
335,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
336,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
337,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
338,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
339,195700,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
340,130500,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
347,141300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
348,102100,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
354,144000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
355,113000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
359,195400,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
360,131300,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
365,135000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
366,80000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
368,160000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
369,85000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
370,178800,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
371,132100,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
375,140000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
376,105000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
383,180000,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
384,165000,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
389,179400,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
390,154000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
395,150000,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
396,100000,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
399,297500,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
400,260000,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0
403,93000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
404,73000,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
408,136994,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
